# Index   NLSS   f_NLSS   dNN    kLSS    QQLSS   Qt      Qratio   sigma           rh                Mvir_rh            Mvirl           rp                v_mean      d_mean          rs              
  32      30     1        1.11   -1.04   -5.23   -2.61   1.0      20.8182226738   0.166457746489    2.3703602124E11    94.9325748091   0.199760148589    28.48024    0.40686057145   0.537367753257  
  33      10     1        1.82   -1.3    -6.1    -0.51   1.0      26.9627679705   0.0772196188603   1.84450416983E11   186.595792795   0.106919209536    47.96672    0.68523885715   0.649457750941  
  34      7      0        1.63   -1.33   -5.4    -2.19   1.0      29.7786679832   0.323173308396    9.41605655565E11   314.033097233   0.398058294509    32.97712    0.471101714     0.795669271294  
  35      10     1        1.04   -1.6    -4.26   -0.06   1.0      57.5274384947   0.0968560336536   1.0531731845E12    601.903780642   0.205516010566    106.42616   1.5203737135    1.34264603809   
  36      6      1        1.68   -1.82   -4.91   -1.35   1.0      48.8945955174   0.150563417543    1.18267173709E12   640.569749213   0.165451405597    53.96256    0.7708937145    1.08997715657   
  37      6      1        1.67   -1.73   -5.24   0.11    1.0      61.2600254094   0.0691088770906   8.521405272E11     384.949233367   0.294803457969    74.948      1.0706857145    1.49349195028   
  38      3      1        1.71   -2.17   -5.09   -1.11   1.0      27.2574517824   0.101937714366    2.48844723021E11   203.303597598   0.112125342179    32.97712    0.4711017145    0.634178033717  
  39      18     1        1.04   -1.13   -4.72   -0.58   1.0      101.349601338   0.163176711914    5.50712971502E12   3020.13745886   0.220055183083    122.91472   1.7559245715    2.34315036578   
  40      2      1        3.34   -2.36   -5.52   -0.96   1.0      24.5186768821   0.188374289437    3.72082056388E11   227.461371984   0.199160212032    34.47608    0.492515428     0.576561471264  
  41      6      1        1.18   -2.01   -5.11   -0.25   1.0      92.3372337918   0.116887299627    3.27449313549E12   2358.13035752   0.15984914435     109.42408   1.563201143     2.09899098278   
  42      6      1        2.62   -1.92   -5.93   -1.65   1.0      54.5332186677   0.154890021421    1.51345231357E12   1123.08283349   0.179451439977    115.41992   1.648856        1.15661650965   
  43      6      1        1.48   -1.68   -5.1    -1.87   1.0      63.8931394739   0.0841074383151   1.12814754126E12   510.490169139   0.1598772004      92.93552    1.327650286     1.44797428195   
  44      12     1        1.11   -1.24   -4.33   -1.44   1.0      12.9524947705   0.148748879879    8.19942870859E10   49.5799793345   0.176949486664    26.98128    0.3854468575    0.305715184372  
  45      28     1        2.26   -1.21   -3.32   1.56    1.0      51.9447256759   0.0326337740468   2.89316535062E11   703.344445907   0.0449400079074   109.42408   1.5632011425    1.11763734253   
  46      76     1        1.11   -0.83   -3.99   -2.8    0.94     26.8514277788   0.50807732759     1.20361508275E12   284.07061658    0.564793155006    55.46152    0.7923074285    0.765437730597  
  47      16     0        1.5    -1.79   -6.29   -3.48   1.0      54.7525220401   0.28320643672     2.78955170793E12   893.438250169   0.288414045418    115.41992   1.648856        1.25465198981   
  48      1      1        1.39   0.0     -6.33   -2.87   1.0      115.358257987   0.160386786061    7.01276041838E12   2579.99096269   0.21109681225     140.90224   2.0128891425    2.70458099681   
  49      4      1        2.07   -1.79   -5.76   -2.42   1.0      31.1873348472   0.33215495822     1.061500749E12     334.338063862   0.416026369789    65.95424    0.9422034285    0.712393424604  
  50      5      1        1.4    -1.61   -4.99   -1.38   1.0      28.8590353428   0.142727108511    3.9056482429E11    298.434507891   0.153215440132    58.45944    0.835134857     0.679913859979  
  51      18     1        1.31   -1.2    -4.33   -0.52   1.0      49.4631564339   0.122158482111    9.81997360447E11   924.580947627   0.129117907406    59.9584     0.8565485715    1.1475525672    
  52      32     1        1.36   -1.12   -4.44   0.51    1.0      29.2030169198   0.0711748213098   1.99436601302E11   168.407759628   0.15686034341     34.47608    0.4925154285    0.697696734439  
  53      13     1        1.13   -1.48   -5.56   -0.09   1.0      60.6703429901   0.0716933433202   8.67071223052E11   405.253131915   0.283164048401    73.44904    1.049272        1.46417399515   
  54      29     1        1.09   -1.12   -3.96   -1.76   0.99     32.5963970117   0.123993159799    4.3287246761E11    138.951968734   0.226488065265    65.95424    0.9422034285    0.829077285889  
  55      24     1        1.22   -1.08   -5.52   -3.33   0.99     65.4221583791   0.144847227738    2.03696216604E12   906.543256893   0.178397799223    82.4428     1.1777542855    1.42728120332   
  56      7      1        2.12   -1.54   -5.51   -2.01   1.0      54.1288548792   0.235448106767    2.26660540732E12   786.020735133   0.313756731995    112.422     1.6060285715    1.20961460996   
  57      15     1        1.07   -0.97   -4.65   -1.02   1.0      45.3337316936   0.0845460400179   5.70898957045E11   722.45559902    0.0933040375025   85.44072    1.220581715     1.06170240893   
  58      11     1        1.5    -0.87   -4.83   -2.77   0.99     58.9675614258   0.214458998278    2.45015550185E12   655.409690337   0.288132287707    73.44904    1.049272        1.33649069082   
  59      18     1        1.07   -0.61   -4.18   -1.56   1.0      76.7191620132   0.167289509859    3.23518744548E12   1560.43835637   0.178462070377    92.93552    1.327650286     1.78378874542   
  60      16     1        1.6    -1.53   -7.23   -0.61   1.0      11.2171895129   0.0808173855608   3.34114982133E10   25.1252547072   0.171606435298    13.49064    0.1927234286    0.353162749526  
  61      28     1        1.13   -0.78   -4.62   -1.59   1.0      38.2357244439   0.23145031261     1.11178153493E12   410.683966049   0.282374116486    80.94384    1.1563405715    0.830684547826  
  62      29     1        1.12   -0.92   -4.11   -1.47   1.0      25.9435099914   0.0708434877774   1.56668050452E11   234.996392451   0.0740790911409   31.47816    0.449688        0.602422105835  
  63      10     1        1.65   -1.79   -6.01   -2.44   1.0      49.037353764    0.252911389336    1.99823001554E12   810.633801554   0.327449359771    92.93552    1.3276502855    1.19979905393   
  64      32     1        1.11   -0.78   -4.64   -2.82   0.99     113.929725511   0.117509818906    5.01154111804E12   2718.3440896    0.145703220034    139.40328   1.9914754285    2.66351064348   
  65      16     1        1.84   -0.93   -5.11   -2.21   1.0      9.79116572188   0.288082086934    9.0741947552E10    33.4922517759   0.361116780434    11.99168    0.171309714     0.288491324391  
  66      3      1        2.93   -1.96   -6.63   -0.19   1.0      34.99000623     0.0690421555341   2.77731679442E11   179.181411145   0.205891678691    55.46152    0.7923074285    0.800022748895  
  67      8      1        2.5    -1.91   -6.71   -2.38   1.0      36.7440590653   0.141828634459    6.29160170468E11   391.378401364   0.165463009983    38.97296    0.5567565715    0.835211229265  
  68      9      1        2.71   -1.66   -5.38   -2.3    1.0      49.9453432008   0.270670941729    2.21847570145E12   735.9580041     0.28367601889     59.9584     0.8565485715    1.16950261691   
  69      15     1        1.05   -1.16   -6.16   -1.43   1.0      50.005289624    0.111078149962    9.12606527388E11   930.96653146    0.128919603123    56.96048    0.81372114285   1.08963676562   
  70      11     1        1.57   -1.38   -6.22   -0.73   1.0      42.4675940944   0.0664506344116   3.93765339861E11   343.704836295   0.152189208081    50.96464    0.7280662857    0.995805513515  
  71      30     1        1.28   -0.43   -4.27   0.04    1.0      34.9900062306   0.0233680448327   9.40012125443E10   137.197059801   0.085411441417    41.97088    0.599584        0.81203804404   
  72      20     1        1.29   -1.14   -4.37   -2.2    0.99     35.3025500479   0.379278120709    1.55307698552E12   465.219566027   0.42293087767     41.97088    0.599584        0.853065823748  
  73      58     1        1.27   -1.23   -4.93   -2.8    0.99     53.8699521404   0.237951808615    2.26884709536E12   938.658504462   0.242809543172    65.95424    0.9422034286    1.27384554147   
  74      16     1        1.45   -1.27   -4.44   -0.85   1.0      66.2412945147   0.155511468026    2.24203858303E12   1196.3415811    0.181022154835    104.9272    1.49896         1.5176241104    
  75      17     1        2.45   -1.71   -5.12   2.05    1.0      29.6105205747   0.0165171065982   4.75827015528E10   66.7968146759   0.0949040919342   34.47608    0.4925154285    0.656728887375  
  76      16     1        1.17   -1.42   -4.76   -2.34   1.0      21.339350956    0.202569917838    3.03082180422E11   155.846392592   0.215352108671    26.98128    0.385446858     0.496287522869  
  77      12     1        1.6    -1.28   -4.27   -1.42   1.0      49.4631564336   0.158011528402    1.27020982192E12   864.472487994   0.165218518251    59.9584     0.8565485715    1.14958385068   
  78      12     1        1.48   -1.9    -5.8    -1.93   1.0      36.7440590653   0.179647578699    7.96927233131E11   349.604582629   0.241486074601    68.95216    0.985030857     0.862796124703  
  79      10     0        1.19   -0.97   -5.17   -2.85   1.0      49.463156434    0.284212285374    2.28470188253E12   812.078666096   0.28744101116     82.4428     1.17775428575   1.17261410132   
  80      37     0        1.06   -0.54   -4.36   -2.54   0.98     64.7624738485   0.172917652392    2.3829187222E12    854.232165079   0.218774957448    89.9376     1.2848228572    1.46459515888   
  81      12     1        2.01   -1.71   -5.32   -1.56   1.0      59.8083161592   0.234277995258    2.75345313446E12   1299.09670569   0.278132139772    125.91264   1.7987520005    1.3387169267    
  82      23     1        1.11   -0.74   -4.04   -1.67   1.0      45.3337316938   0.254288751657    1.71709027507E12   571.883371265   0.275587262612    94.43448    1.349064        1.10250657473   
  83      17     1        1.27   -1.02   -5.16   -2.32   1.0      21.9392766145   0.20661597347     3.2676199607E11    120.879917894   0.331775838085    25.48232    0.364033143     0.679259569565  
  84      26     1        1.12   -0.43   -4.24   -1.93   1.0      72.1164387885   0.18463536897     3.15505171712E12   1703.01919101   0.186312465956    86.93968    1.2419954285    1.66574657292   
  85      25     1        1.11   -1.17   -4.82   -2.8    0.99     41.6364453471   0.362972550847    2.06749330889E12   675.010485576   0.39628358701     86.93968    1.241995429     0.986559509057  
  86      17     1        1.05   -1.28   -3.92   -0.46   1.0      21.7564461219   0.0768110471929   1.19460034562E11   185.82447403    0.0852434483204   44.9688     0.6424114285    0.490858298136  
  87      14     1        2.28   -1.61   -5.9    -1.88   1.0      41.4200257425   0.191468247637    1.07929590769E12   581.214388321   0.234731237783    64.45528    0.9207897145    0.984864517704  
  88      58     1        1.09   -0.55   -4.72   -2.47   0.99     32.8709620609   0.228736840958    8.12052276094E11   298.431471178   0.255884855615    43.46984    0.620997714     0.841425825108  
