#Index SIT RA DEC z sigma rh_rp rh_rs Mvir_rh R Mvir_rp Mvirl LS rp
46 1 208.03221 5.43217 0.07892 26.8514277788 0.50807732759 0.698627138005 1.20361508275e+12 0.217739390602 5.15815999663e+11 10.9291828465 1.10128552121e+11 0.564793155006
47 1 233.2897 -1.86602 0.02821 54.7525220401 0.28320643672 0.810753399396 2.78955170793e+12 0.167516596755 1.65001973118e+12 109.904422558 25381614706.8 0.288414045418
48 1 229.51926 3.48976 0.06764 115.358257987 0.160386786061 2.4104667833 7.01276041838e+12 0.15768973018 6.89483420271e+12 112.370124473 62407694672.4 0.21109681225
49 1 202.90372 61.62828 0.04409 31.1873348472 0.33215495822 0.442212164099 1.061500749e+12 0.306546315432 9.79660653501e+11 27.2822639915 38908088761.7 0.416026369789
50 1 215.19038 58.69895 0.04611 28.8590353428 0.142727108511 0.558170892305 3.9056482429e+11 0.0789791831826 2.16122158742e+11 11.4675534052 34058252051.7 0.153215440132
51 1 132.89853 47.55767 0.02906 49.4631564339 0.122158482111 0.983940514281 9.81997360447e+11 0.0874668680336 7.03121322819e+11 13.4981465304 72750533433.4 0.129117907406
52 1 4.92368 0.37568 0.04127 29.2030169198 0.0711748213098 0.561149042971 1.99436601302e+11 0.103287283574 2.89417864558e+11 9.81589780013 20317713709.2 0.15686034341
53 1 210.05475 3.4244 0.03477 60.6703429901 0.0716933433202 1.28245191534 8.67071223052e+11 0.200436482882 2.42411217427e+12 21.560953474 40214883080.0 0.283164048401
54 1 183.63297 4.43507 0.07654 32.5963970117 0.123993159799 0.727597410336 4.3287246761e+11 0.169152724996 5.90529006527e+11 2.41018736915 1.7960116842e+11 0.226488065265
55 1 120.00467 28.74175 0.04077 65.4221583791 0.144847227738 0.728607256595 2.03696216604e+12 0.0429011699059 6.03311926239e+11 80.12279477 25423004425.7 0.178397799223
56 1 168.34177 61.44682 0.06767 54.1288548792 0.235448106767 0.806380043824 2.26660540732e+12 0.182270515989 1.75467682799e+12 32.3806274722 69998810531.6 0.313756731995
57 1 172.76384 62.30467 0.03277 45.3337316936 0.0845460400179 0.952361836722 5.70898957045e+11 0.050125357155 3.38472554306e+11 19.2002983483 29733858645.8 0.0933040375025
58 1 184.54147 62.80197 0.04968 58.9675614258 0.214458998278 0.821418837758 2.45015550185e+12 0.0583627165895 6.6678354512e+11 29.4837408733 83101920898.8 0.288132287707
59 1 181.21303 63.1315 0.04038 76.7191620132 0.167289509859 1.52732649251 3.23518744548e+12 0.060367552955 1.16743930686e+12 36.443822576 88771901979.5 0.178462070377
60 1 123.24136 36.25463 0.00824 11.2171895129 0.0808173855608 0.336941968472 33411498213.3 0.115604948562 47793361607.9 3.36079217945 9941554380.44 0.171606435298
61 1 123.44865 37.05037 0.0306 38.2357244439 0.23145031261 0.381419392338 1.11178153493e+12 0.152846555499 7.34205005663e+11 31.8378231382 34920149223.2 0.282374116486
62 1 171.92673 55.92117 0.01878 25.9435099914 0.0708434877774 0.519002536867 1.56668050452e+11 0.0444503577569 98300508771.4 28.1063725217 5574111363.21 0.0740790911409
63 1 249.55365 40.17348 0.03686 49.037353764 0.252911389336 1.09130007112 1.99823001554e+12 0.17460906804 1.37957045611e+12 55.1940069913 36203749726.9 0.327449359771
64 1 180.24112 59.38512 0.03281 113.929725511 0.117509818906 2.38912911701 5.01154111804e+12 0.0989779646706 4.22119738032e+12 251.826258096 19900788567.2 0.145703220034
65 1 181.56902 61.15398 0.05203 9.79116572188 0.288082086934 0.275307167687 90741947552.0 0.270741020988 85279747130.9 1.816139065 49964206651.7 0.361116780434
66 1 166.86546 53.98799 0.06047 34.99000623 0.0690421555341 0.64518435559 2.77731679442e+11 0.153837243361 6.18831721415e+11 6.2649277369 44331186424.8 0.205891678691
67 1 208.74503 46.94458 0.02785 36.7440590653 0.141828634459 0.492555739133 6.29160170468e+11 0.115771506913 5.13569218957e+11 25.5341319881 24639967035.5 0.165463009983
68 1 354.17966 13.67414 0.06233 49.9453432008 0.270670941729 0.971224495063 2.21847570145e+12 0.124073499244 1.01693237371e+12 33.6343594308 65958613126.3 0.28367601889
69 1 231.26834 4.82983 0.02151 50.005289624 0.111078149962 0.59026736599 9.12606527388e+11 0.0953515490581 7.83398410006e+11 45.2133022302 20184469666.5 0.128919603123
70 1 347.75272 13.63158 0.02276 42.4675940944 0.0664506344116 0.826856810767 3.93765339861e+11 0.100590223015 5.96065691515e+11 18.2194772814 21612329145.3 0.152189208081
71 1 139.1048 42.99166 0.00873 34.9900062306 0.0233680448327 0.666202809424 94001212544.3 0.0640585901597 2.57684594154e+11 90.0336337331 1044067740.54 0.085411441417
72 1 162.69667 6.09852 0.042 35.3025500479 0.379278120709 0.708434843422 1.55307698552e+12 0.300558898877 1.23073566112e+12 24.3968727441 63658855043.3 0.42293087767
73 1 165.59154 6.07724 0.02197 53.8699521404 0.237951808615 1.15032792686 2.26884709536e+12 0.122502650231 1.16805072325e+12 148.500462707 15278384013.1 0.242809543172
74 1 167.14337 8.73659 0.07161 66.2412945147 0.155511468026 1.22598078826 2.24203858303e+12 0.0841253365113 1.2128510692e+12 37.9341890154 59103374587.0 0.181022154835
75 1 156.42859 45.34786 0.04383 29.6105205747 0.0165171065982 0.429773893705 47582701552.8 0.0711211519464 2.04886765551e+11 2.08932115659 22774240045.7 0.0949040919342
76 1 166.15361 6.39503 0.03212 21.339350956 0.202569917838 0.336526984166 3.03082180422e+11 0.128553221764 1.92339470581e+11 19.0526788733 15907588766.8 0.215352108671
77 1 170.68939 7.52041 0.04152 49.4631564336 0.158011528402 0.986874011198 1.27020982192e+12 0.100893104547 8.11051026825e+11 34.6248186301 36684952360.1 0.165218518251
78 1 168.52626 55.71087 0.02792 36.7440590653 0.179647578699 0.775885322984 7.96927233131e+11 0.134278085878 5.95665492537e+11 24.7453598768 32205117933.1 0.241486074601
79 1 199.9028 -2.91205 0.02273 49.463156434 0.284212285374 1.02028152771 2.28470188253e+12 0.149821545884 1.20437287739e+12 99.5886657017 22941384608.7 0.28744101116
80 1 199.14793 -2.09135 0.01885 64.7624738485 0.172917652392 0.98985431019 2.3829187222e+12 0.0492079762936 6.78118204646e+11 55.5136704342 42924899462.8 0.218774957448
81 1 183.69745 10.91788 0.07871 59.8083161592 0.234277995258 0.797640220731 2.75345313446e+12 0.13776587854 1.6191528772e+12 20.4469276822 1.34663416297e+11 0.278132139772
82 1 227.64987 54.3874 0.03835 45.3337316938 0.254288751657 0.868414267049 1.71709027507e+12 0.196919967512 1.32970632393e+12 31.728228582 54118693409.9 0.275587262612
